example_id	structure_preserved	line_similarity	unred_tokens	red_tokens	unred_only_words	unred_only_chunks	red_only_words	truth_word_recall	truth_word_precision	truth_word_f1	truth_redactions	pred_redaction_chunks	correct_redactions	hallucinated_redactions	missed_redactions	perfect_redaction_match_rate	strict_avg_pair_f1_on_correct	relaxed_gt_found_count	relaxed_gt_found_rate	relaxed_avg_best_f1_over_gt	demo_folder
0	False	0.0	82	43	41	4	2	1.0	1.0	1.0	2	4	2	2	0	0.0	0.925926	2	1.0	0.925926	diagnostics/demo/000
1	False	0.571429	168	158	14	2	4	0.994048	0.994048	0.994048	1	2	1	1	0	1.0	1.0	1	1.0	1.0	diagnostics/demo/001
2	False	0.545455	154	140	20	2	6	0.980645	0.987013	0.983819	1	2	1	1	0	0.0	0.923077	1	1.0	0.923077	diagnostics/demo/002
3	False	0.0	158	155	13	3	10	0.968553	0.974684	0.971609	1	3	1	2	0	0.0	1.0	1	1.0	1.0	diagnostics/demo/003
4	False	0.5	118	58	60	2	0	1.0	0.966102	0.982759	1	2	1	1	0	0.0	1.0	1	1.0	1.0	diagnostics/demo/004
5	False	0.25	222	199	25	3	2	0.995495	0.995495	0.995495	1	3	0	3	1	0.0	0.0	0	0.0	0.0	diagnostics/demo/005
6	False	0.285714	176	148	29	3	1	0.911458	0.994318	0.951087	2	3	1	2	1	0.0	1.0	1	0.5	0.583333	diagnostics/demo/006
7	False	0.0	93	81	13	2	1	1.0	0.924731	0.960894	1	2	1	1	0	0.0	1.0	1	1.0	1.0	diagnostics/demo/007
8	False	0.125	141	133	11	4	3	0.992857	0.985816	0.989324	1	4	1	3	0	1.0	1.0	1	1.0	1.0	diagnostics/demo/008
9	False	0.444444	216	178	39	3	1	0.99537	0.99537	0.99537	1	3	1	2	0	0.0	1.0	1	1.0	1.0	diagnostics/demo/009
10	False	0.0	186	140	59	8	13	0.994652	1.0	0.997319	4	8	1	7	3	0.0	1.0	2	0.5	0.583333	diagnostics/demo/010
11	False	0.0	177	114	65	3	2	0.826733	0.943503	0.881266	2	3	0	3	2	0.0	0.0	0	0.0	0.050866	diagnostics/demo/011
12	False	0.222222	312	247	72	2	7	0.990446	0.996795	0.99361	1	2	0	2	1	0.0	0.0	0	0.0	0.0	diagnostics/demo/012
13	False	0.0	138	141	10	3	13	0.917241	0.963768	0.939929	1	3	1	2	0	0.0	0.888889	1	1.0	0.888889	diagnostics/demo/013
14	False	0.0	213	147	80	10	14	1.0	1.0	1.0	2	10	0	10	2	0.0	0.0	0	0.0	0.014493	diagnostics/demo/014
15	False	0.105263	59	60	9	3	10	0.404762	0.864407	0.551351	3	3	1	2	2	1.0	1.0	1	0.333333	0.333333	diagnostics/demo/015
16	False	0.2	251	186	68	5	3	0.960938	0.98008	0.970414	3	5	1	4	2	0.0	1.0	1	0.333333	0.348148	diagnostics/demo/016
17	True	0.75	279	250	29	1	0	1.0	1.0	1.0	1	1	1	0	0	0.0	1.0	1	1.0	1.0	diagnostics/demo/017
18	False	0.25	272	233	39	3	0	0.992701	1.0	0.996337	5	3	2	1	3	0.5	0.785714	2	0.4	0.347299	diagnostics/demo/018
19	False	0.285714	201	160	42	3	1	1.0	1.0	1.0	2	3	2	1	0	0.0	0.857143	2	1.0	0.857143	diagnostics/demo/019
20	False	0.285714	239	119	120	1	0	0.971429	0.995816	0.983471	2	1	0	1	2	0.0	0.0	0	0.0	0.040784	diagnostics/demo/020
21	False	0.444444	279	266	17	3	4	1.0	1.0	1.0	1	3	1	2	0	0.0	0.967742	1	1.0	0.967742	diagnostics/demo/021
22	False	0.0	157	144	13	2	0	1.0	1.0	1.0	1	2	1	1	0	1.0	1.0	1	1.0	1.0	diagnostics/demo/022
23	False	0.571429	93	55	38	2	0	1.0	0.892473	0.943182	1	2	1	1	0	0.0	1.0	1	1.0	1.0	diagnostics/demo/023
24	False	0.444444	224	196	32	1	4	0.995556	1.0	0.997773	1	1	0	1	1	0.0	0.0	0	0.0	0.058824	diagnostics/demo/024
25	False	0.5	219	40	185	1	6	0.090909	0.100457	0.095445	2	1	0	1	2	0.0	0.0	0	0.0	0.029218	diagnostics/demo/025
26	False	0.285714	235	210	34	3	9														diagnostics/demo/026
27	True	0.666667	367	323	44	1	0	1.0	0.356948	0.526104	1	1	1	0	0	0.0	0.580645	1	1.0	0.580645	diagnostics/demo/027
28	False	0.0	240	181	62	5	3	0.987342	0.975	0.981132	2	5	2	3	0	0.0	0.944754	2	1.0	0.944754	diagnostics/demo/028
30	False	0.2	319	260	65	6	6	0.987461	0.987461	0.987461	1	6	1	5	0	0.0	0.983051	1	1.0	0.983051	diagnostics/demo/030
31	False	0.0	256	255	19	12	18	0.988281	0.988281	0.988281	1	12	1	11	0	0.0	1.0	1	1.0	1.0	diagnostics/demo/031
32	False	0.25	216	207	14	6	5	0.990741	0.990741	0.990741	1	6	1	5	0	1.0	1.0	1	1.0	1.0	diagnostics/demo/032
33	False	0.222222	235	264	2	1	31	0.66954	0.991489	0.799314	2	1	0	1	2	0.0	0.0	0	0.0	0.0	diagnostics/demo/033
34	True	0.8	250	241	9	1	0														diagnostics/demo/034
35	False	0.5	304	308	3	1	7	0.977492	1.0	0.988618	2	1	1	0	1	0.0	0.428571	1	0.5	0.214285	diagnostics/demo/035
36	False	0.0	333	300	49	4	16	0.993994	0.993994	0.993994	2	4	2	2	0	0.0	0.985294	2	1.0	0.985294	diagnostics/demo/036
38	True	0.846154	112	113	2	2	3	0.380783	0.955357	0.544529	3	2	0	2	3	0.0	0.0	0	0.0	0.0	diagnostics/demo/038
39	False	0.0	213	196	26	3	9	0.959091	0.99061	0.974596	1	3	1	2	0	0.0	1.0	1	1.0	1.0	diagnostics/demo/039
40	True	0.6	270	268	6	3	4	0.977778	0.977778	0.977778	0	3	0	3	0	0.0	0.0	0	1.0	0.0	diagnostics/demo/040
41	False	0.0625	265	213	73	10	21	0.984962	0.988679	0.986817	0	10	0	10	0	0.0	0.0	0	1.0	0.0	diagnostics/demo/041
43	True	0.75	275	272	3	1	0	0.996364	0.996364	0.996364	3	1	0	1	3	0.0	0.0	0	0.0	0.0	diagnostics/demo/043
44	False	0.0	298	83	216	2	1	0.989933	0.989933	0.989933	1	2	0	2	1	0.0	0.0	0	0.0	0.307087	diagnostics/demo/044
45	False	0.363636	294	264	33	3	3	1.0	1.0	1.0	1	3	1	2	0	0.0	1.0	1	1.0	1.0	diagnostics/demo/045
46	False	0.533333	338	314	24	3	0	0.996988	0.97929	0.98806	1	3	1	2	0	0.0	0.5	1	1.0	0.5	diagnostics/demo/046
47	False	0.285714	305	260	55	4	10	0.961538	0.983607	0.972447	0	4	0	4	0	0.0	0.0	0	1.0	0.0	diagnostics/demo/047
48	False	0.25	151	152	9	7	10	0.993377	0.993377	0.993377	1	7	1	6	0	0.0	0.8	1	1.0	0.8	diagnostics/demo/048
49	True	0.75	229	217	12	1	0	1.0	1.0	1.0	1	1	0	1	1	0.0	0.0	0	0.0	0.0	diagnostics/demo/049
50	False	0.6	231	206	25	1	0	0.991342	0.991342	0.991342	1	1	0	1	1	0.0	0.0	0	0.0	0.148148	diagnostics/demo/050
51	False	0.5	245	230	17	2	2	0.927757	0.995918	0.96063	2	2	1	1	1	0.0	0.967742	1	0.5	0.542694	diagnostics/demo/051
52	False	0.4	332	243	95	3	6	0.996933	0.978916	0.987842	4	3	0	3	4	0.0	0.0	0	0.0	0.097377	diagnostics/demo/052
53	False	0.5	310	292	24	1	6	0.953846	1.0	0.976378	3	1	0	1	3	0.0	0.0	0	0.0	0.119103	diagnostics/demo/053
54	True	0.666667	286	267	19	2	0	0.989399	0.979021	0.984183	2	2	1	1	1	0.0	1.0	1	0.5	0.5	diagnostics/demo/054
55	False	0.5	244	243	9	5	8	0.97541	0.97541	0.97541	3	5	1	4	2	0.0	1.0	1	0.333333	0.333333	diagnostics/demo/055
56	True	0.615385	311	277	34	1	0	0.965839	1.0	0.982622	2	1	1	0	1	0.0	1.0	1	0.5	0.566666	diagnostics/demo/056
57	False	0.2	310	286	25	2	1	0.996774	0.996774	0.996774	0	2	0	2	0	0.0	0.0	0	1.0	0.0	diagnostics/demo/057
58	False	0.0	312	277	38	4	3	0.990385	0.990385	0.990385	1	4	1	3	0	0.0	1.0	1	1.0	1.0	diagnostics/demo/058
59	False	0.2	329	286	50	4	7	0.98494	0.993921	0.98941	3	4	3	1	0	0.333333	0.983333	3	1.0	0.983333	diagnostics/demo/059
61	False	0.0	206	189	18	3	1	0.995146	0.995146	0.995146	1	3	1	2	0	0.0	1.0	1	1.0	1.0	diagnostics/demo/061
